WigleWifi-1.4,appRelease=2.25,model=GT-I9500,release=5.0.1,device=ja3g,display=LRX22C.I9500XXUHOI1,board=universal5410,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
c4:12:f5:85:03:b9,256_8503b3,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:18,2,-76,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
c4:12:f5:85:03:b8,256_8503b3_5G,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:18,48,-83,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
c4:12:f5:85:4f:de,Biber1,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:18,60,-80,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
c4:12:f5:85:4f:df,Biber2,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:18,1,-79,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
74:da:38:ae:67:bb,Feldman_ext,[WPA2-PSK-CCMP-preauth][WPS][ESS],2017-10-31 10:26:18,6,-85,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
80:37:73:e4:f7:06,brafman2_2.4,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:26:18,1,-88,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
04:8d:38:7e:cf:a6,Avi_123,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:18,5,-88,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
62:37:73:e4:f7:07,Bezeq Free,[ESS],2017-10-31 10:26:18,1,-85,32.1374749741613,34.9879644454481,47.5119947331826,64,WIFI
42501_10222_1507311,012 Mobile,HSDPA;il,2017-10-31 10:26:18,0,-73,32.1374749741613,34.9879644454481,47.5119947331826,64,GSM
c4:12:f5:85:03:b8,256_8503b3_5G,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:21,48,-76,32.1377246464064,34.9881520041904,92.705730434229,48,WIFI
f4:f2:6d:88:67:31,Zis,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:26:21,10,-88,32.1377246464064,34.9881520041904,92.705730434229,48,WIFI
c4:12:f5:85:03:b9,256_8503b3,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:22,2,-55,32.1378214163929,34.9882748210541,98.0335846097906,48,WIFI
c4:12:f5:85:03:b8,256_8503b3_5G,[WPA2-PSK-CCMP][ESS],2017-10-31 10:26:22,48,-68,32.1378214163929,34.9882748210541,98.0335846097906,48,WIFI
74:da:38:47:8b:98,Edimax,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:26:22,6,-88,32.1378214163929,34.9882748210541,98.0335846097906,48,WIFI
f4:28:53:2d:bf:e4,TOTOLINK_2dbfe4,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:26:39,9,-88,32.1377520851091,34.9884148807809,97.6581125044875,32,WIFI
74:da:38:ae:67:bb,Feldman_ext,[WPA2-PSK-CCMP-preauth][WPS][ESS],2017-10-31 10:26:46,6,-79,32.1377297082733,34.9883929591709,96.4620956156649,6,WIFI
62:44:01:3a:56:43,Bezeq Free,[ESS],2017-10-31 10:26:52,11,-85,32.1377297082733,34.9883929591709,91.3563602028293,6,WIFI
74:44:01:3a:56:42,Bezeq-n_5642,[WPS][ESS],2017-10-31 10:26:52,11,-88,32.1377297082733,34.9883929591709,91.3563602028293,6,WIFI
42501_10222_1507311,012 Mobile,HSDPA;il,2017-10-31 10:26:52,0,-67,32.1377297082733,34.9883929591709,91.3563602028293,6,GSM
c4:12:f5:85:4f:df,Biber2,[WPA2-PSK-CCMP][ESS],2017-10-31 10:27:12,1,-73,32.1377092948486,34.98836792886,93.2266497880974,6,WIFI
f4:f2:6d:88:67:31,Zis,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:27:18,10,-82,32.1377183460632,34.9883678894292,93.1636682844963,6,WIFI
fc:15:b4:62:4d:bf,HP-Print-BF-Officejet 6700,[WPA2-PSK-CCMP][ESS],2017-10-31 10:27:38,1,-88,32.1377380760915,34.9883657809324,93.7326394629645,24,WIFI
80:37:73:e4:f7:06,brafman2_2.4,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:27:51,1,-82,32.1377313624451,34.9883679494323,93.9397610529725,12,WIFI
04:8d:38:7e:cf:a6,Avi_123,[WPA2-PSK-CCMP][ESS],2017-10-31 10:28:05,5,-82,32.1377106014667,34.9883727901401,95.3538411692458,8,WIFI
f4:28:53:2d:bf:e4,TOTOLINK_2dbfe4,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 10:28:16,9,-82,32.1377060220582,34.9883745955361,96.2594115683195,6,WIFI
c4:12:f5:85:4f:df,Biber2,[WPA2-PSK-CCMP][ESS],2017-10-31 10:28:18,1,-67,32.1377026048304,34.9883741561942,96.2037000862251,8,WIFI
42501_10222_1507304,012 Mobile,UNKNOWN;il,2017-10-31 10:29:16,0,-75,32.137647568333,34.9883143865082,96.5458849026943,16,GSM
42501_10222_1507308,012 Mobile,HSDPA;il,2017-10-31 10:30:10,0,-75,32.1371582528277,34.9887241983769,95.8734048983495,12,GSM
74:44:01:3a:56:42,Bezeq-n_5642,[WPS][ESS],2017-10-31 10:31:14,11,-82,32.1374604246697,34.9884412368421,94.1227663866881,16,WIFI
62:37:73:e4:f7:07,Bezeq Free,[ESS],2017-10-31 10:32:03,1,-76,32.1375730902194,34.9883517505993,94.8259070697984,8,WIFI
