WigleWifi-1.4,appRelease=2.26,model=yishay,release=5.0.1,device=ja3g,display=LRX22C.I9500XXUHOI1,board=universal5410,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:09,36,-81,32.10350207,35.20891788,676.5159623,16,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:09,40,-85,32.10350207,35.20891788,676.5159623,16,WIFI
8c:0c:90:6e:16:88,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:09,8,-85,32.10350207,35.20891788,676.5159623,16,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],09/11/2017 13:09,40,-64,32.10350207,35.20891788,676.5159623,16,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],09/11/2017 13:09,1,-67,32.10350207,35.20891788,676.5159623,16,WIFI
1c:b9:c4:12:7c:cc,Ariel_University,[ESS],09/11/2017 13:09,36,-80,32.10350207,35.20891788,676.5159623,16,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS],09/11/2017 13:09,36,-85,32.10350207,35.20891788,676.5159623,16,WIFI
ec:8c:a2:08:78:cc,Ariel_University,[ESS],09/11/2017 13:09,40,-84,32.10350207,35.20891788,676.5159623,16,WIFI
1c:b9:c4:16:13:0c,Ariel_University,[ESS],09/11/2017 13:09,44,-87,32.10350207,35.20891788,676.5159623,16,WIFI
1c:b9:c4:16:13:08,Ariel_University,[ESS],09/11/2017 13:09,11,-85,32.10350207,35.20891788,676.5159623,16,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],09/11/2017 13:09,44,-85,32.10350207,35.20891788,676.5159623,16,WIFI
8c:0c:90:2e:16:88,Ariel_University,[ESS],09/11/2017 13:09,8,-82,32.10350207,35.20891788,676.5159623,16,WIFI
42501_10072_480144,012 Mobile,HSDPA;il,09/11/2017 13:09,0,-87,32.10350207,35.20891788,676.5159623,16,GSM
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS],09/11/2017 13:10,40,-78,32.10343206,35.20891124,685.6544214,8,WIFI
c4:12:f5:85:12:7d,Si_2.4G,[WPA2-PSK-CCMP][ESS],09/11/2017 13:10,5,-88,32.10343206,35.20891124,685.6544214,8,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],09/11/2017 13:10,11,-76,32.10343206,35.20891124,685.6544214,8,WIFI
